"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-10",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-11",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-12",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-13",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-14",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-15",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-16",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-17",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-18",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-19",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-20",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-21",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-22",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-23",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-24",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-25",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-26",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-27",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-28",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-29",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-06-30",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-07-01",,,
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-07-02",,"75",
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-07-03",,"71","53"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-07-04",,"68","55"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-07-05",,"77","53"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-07-06",,"73","50"
